timestep,action,reward,current_date,stock_code,price,next_price,qty,current_amt,total_amt,order_qty,wait_see_rate,init_total_evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,net_income_rate,next_total_evlu_rate,next_day_evlu_rate,next_day_evlu_rate_exp,sharp_data,sortino_data,reward_log
59,-0.23343316,-0.030027615328412693,20170519, 083650.csv,6480.0,6520.0,2770.0,39839908.0,57789508.0,843.0,0.37614393094248677,4.579506352087114,-0.5143640413462185,-0.08771897623492297,-0.03774240506571669,7.143583184830542,4.881139745916515,0.2884249547075638,0.0008315436208032878,2.6525879468963796,3.685067241685255,sell
60,-0.35568362,-0.01833633067379479,20170522, 083650.csv,6520.0,6850.0,1785.0,46212228.0,57850428.0,985.0,0.19173030509275144,4.862119782214156,0.27023786971758024,-0.06815605597246509,-0.02295858691511754,6.650827547883596,4.991702359346642,0.12357424912028635,0.00015269429149622482,3.009101497279088,4.147558010742371,sell
61,-0.099891156,-0.038497727630103735,20170523, 083650.csv,6850.0,6470.0,1607.0,47370884.0,58378834.0,178.0,1.018229286047806,4.988246823956443,0.12027893581041205,-0.10150753874790941,-0.050214303164320295,2.6324465376266377,5.950696914700544,0.9167217472998965,0.008368574506762538,3.140121642128,4.29316959927352,sell
62,-0.4998533,0.5952704176469987,20170524, 083650.csv,6470.0,6560.0,804.0,52862403.0,58064283.0,803.0,-1.0460297990877994,5.934306715063522,0.9011102858907861,0.5226084676846422,0.7447720093966577,7.793096957951128,5.379823956442832,-0.5234213314031572,-0.0027359493516369016,4.26440590221237,5.824819237179524,sell
63,0.49244124,0.6865560668339622,20170525, 083650.csv,6560.0,6560.0,4826.0,26836368.0,58494928.0,4022.0,0.12462050035130891,5.373117967332123,-0.5297516594325323,0.6234601081330557,0.8567999295041715,7.217200767560969,6.1613938294010895,0.7480806084843646,0.005580616153124662,3.6055808648712366,4.982818083503124,buy
64,-0.40260434,0.0,20170526, 083650.csv,6560.0,6450.0,2884.0,39554970.0,58474010.0,1942.0,0.0,6.123430127041742,0.7120527267136874,0,0,7.1792370652016215,6.123430127041742,0.0,0,4.520490183656122,6.224160665887548,sell
65,-1.0750871,-1.0,20170529, 083650.csv,6450.0,6470.0,2884.0,39554970.0,58156770.0,0,-0.5425316307193572,6.123430127041742,0.0,-0.5425316307193572,-0.770465710637501,8.262609077695018,5.547676950998185,-0.5425316307193572,-0.002939078131717121,4.565277881270251,6.238607720807329,wrong
66,-0.023416862,-2.444246675681328e-06,20170530, 083650.csv,6470.0,6530.0,2817.0,39986411.0,58212401.0,67.0,0.09918019862519875,5.546390199637024,-0.5437441352149441,-0.0023029359096238405,-2.6517217431520912e-05,8.061913654865828,5.648640653357532,0.09687726271557491,9.384763634767701e-05,3.8910692782379996,5.37911588934276,sell
67,0.4118759,0.2333674865041898,20170531, 083650.csv,6530.0,6540.0,5361.0,23524394.0,58531722.0,2544.0,0.29035050452565936,5.644402903811252,0.09286220399280481,0.2622308995222248,0.29094715687850536,7.7364698546178206,6.228174228675136,0.5525814040478841,0.003048805006927502,4.062496942626721,5.574658435030804,buy
68,0.39229643,0.0023523597904064443,20170601, 083650.csv,6540.0,6690.0,6773.0,14302725.0,58598145.0,1412.0,0.09159135650950585,6.225794918330309,0.5503292162561713,0.02412967898019759,0.0029069735843768596,7.706186571515385,6.348720508166969,0.11572103548970344,0.00013390461452478242,4.768707836379295,6.510543327507543,buy
