timestep,action,reward,current_date,stock_code,price,next_price,wait_see_rate,evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,next_total_evlu_rate,next_total_evlu_rate_exp,net_income_rate,net_income_rate_exp,next_day_evlu_rate,next_day_evlu_rate_exp,unrealized_gain_loss,unrealized_gain_loss_exp,sharp_data,sortino_data,reward_log
157,0.030499898,0.29299999999751786,20201013,datas,270500.0,262000.0,0.0,56.37802352941177,3.8951162693509116,-3.749085047705916,-0.01,50.51527843137254,0.9999999999917263,-4.514307367444026,-0.01,-3.749085047705916,-0.01,-11.05,-0.01,16.82812374417477,28.153289564419705,buy
158,-0.0680549,0.7977756771819862,20201014,datas,262000.0,255000.0,-6.031136815874735,54.83467843137255,-0.9869322192507066,1.241714737023929,0.9995513544669579,47.41899215686274,0.9999999998283576,-3.468581807634301,-0.01,-4.789422078850806,-0.01,-8.540000000000001,-0.01,16.402139244866593,27.526645887254755,sell
159,-0.029954016,0.7979999999755103,20201015,datas,255000.0,256500.0,-4.32592961960718,50.76295294117648,-2.629724510973032,2.623477779420613,0.9999999999999989,48.1962862745098,0.9999999999183696,-3.578861654484278,-0.01,-1.702451840186567,-0.01,1.7850000000000001,0.03135999694996261,15.168876536969439,25.546624853304102,sell
160,0.1118823,0.7979999999346958,20201016,datas,256500.0,255500.0,-2.0119885384023064,47.49586274509804,-2.1670378115724223,2.174173213838201,0.9999999999456266,47.73507843137254,0.999999999872942,-3.448353521290173,-0.01,0.1621846754358946,0.00026300409781943035,-1.2200000000000002,-0.01,14.177377523110138,23.97390316930424,buy
161,0.19447678,0.29299999661273723,20201019,datas,255500.0,245500.0,-3.081508833281997,48.212941176470586,0.4861685053578771,-0.5857108268254794,-0.01,42.77764705882353,0.9999999887091241,-2.488625130525577,-0.01,-3.6672196601074765,-0.01,-12.600000000000001,-0.01,14.458932138813845,24.37470022285914,buy
162,0.17661867,0.4132872129299941,20201020,datas,245500.0,244000.0,-4.167295068303951,47.7184,-0.3336693628404283,0.22895897826809275,0.23057444009506678,41.90075294117647,0.999999976274869,-2.477945283675602,-0.01,-3.9383360900358584,-0.01,-1.935,-0.01,14.341972849279584,24.195439428503057,buy
163,0.21838343,0.7979998892583741,20201021,datas,244000.0,237500.0,-6.164352140925692,42.65903137254902,-3.4250090898973857,3.2395117158485167,1.0,38.486482352941174,0.999999630861247,-2.0460620257570525,-0.01,-2.924840425077175,-0.01,-8.645000000000001,-0.01,12.742331706042286,21.518708277525576,buy
164,0.18508267,0.6569846215755725,20201022,datas,237500.0,238000.0,-2.7420378985098517,41.87640784313725,-0.5485972545039725,0.503138114870493,0.7179694309908146,38.69993725490196,0.999999686933884,-2.128465111961944,-0.01,-2.2388997836393587,-0.01,0.675,0.004545886039208802,12.540199018207218,21.208380783052963,buy
165,0.11371344,0.7979999062131309,20201023,datas,238000.0,238000.0,-2.2388997836393587,38.435101960784316,-2.425565980044935,2.431529155012385,0.9999999999998549,38.70176862745098,0.999999687377345,-2.1266337394129238,-0.01,0.1926293713730262,0.00037099191263079145,0.0,0,11.485566469644366,19.493993260788084,buy
166,0.03233423,0.2929999381098664,20201026,datas,238000.0,239000.0,0.5778881141190785,38.70176862745098,0.1926293713730262,-0.1933700660717954,-0.01,39.23510196078431,0.9999997936995548,-2.185016382410957,-0.01,0.38451804804728307,0.0014774487890673038,1.36,0.018325998720056802,11.60731673600464,19.641578671382096,buy
